Time of Day,Process Name,PID,Operation,Path,Result,Detail
44:57.9,1.exe,4080,Thread Create,,SUCCESS,Thread ID: 2100
44:58.0,1.exe,4080,Load Image,C:\Users\vegetable\Desktop\1.exe,SUCCESS,"Image Base: 0x400000, Image Size: 0xde000"
44:58.0,1.exe,4080,Load Image,C:\Windows\System32\ntdll.dll,SUCCESS,"Image Base: 0x7ffcf7500000, Image Size: 0x1f0000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\ntdll.dll,SUCCESS,"Image Base: 0x77170000, Image Size: 0x19a000"
44:58.0,1.exe,4080,CreateFile,C:\Windows\Prefetch\1.EXE-5394C3DF.pf,NAME NOT FOUND,"Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock,NAME NOT FOUND,Length: 80
44:58.0,1.exe,4080,RegOpenKey,HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies,NAME NOT FOUND,Length: 24
44:58.0,1.exe,4080,CreateFile,C:\Windows,SUCCESS,"Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\hivelist,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\hivelist\\Registry\User\S-1-5-21-868303909-713215063-1058131251-1001_Classes,SUCCESS,"Type: REG_SZ, Length: 172, Data: \Device\HarddiskVolume2\Users\vegetable\AppData\Local\Microsoft\Windows\UsrClass.dat"
44:58.0,1.exe,4080,Load Image,C:\Windows\System32\wow64.dll,SUCCESS,"Image Base: 0x7ffcf7460000, Image Size: 0x55000"
44:58.0,1.exe,4080,Load Image,C:\Windows\System32\wow64win.dll,SUCCESS,"Image Base: 0x7ffcf5ee0000, Image Size: 0x7d000"
44:58.0,1.exe,4080,CreateFile,C:\Windows\System32\wow64log.dll,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\Microsoft\Wow64\x86,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Microsoft\Wow64\x86\1.exe,NAME NOT FOUND,Length: 520
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Microsoft\Wow64\x86\(Default),SUCCESS,"Type: REG_SZ, Length: 26, Data: wow64cpu.dll"
44:58.0,1.exe,4080,Load Image,C:\Windows\System32\wow64cpu.dll,SUCCESS,"Image Base: 0x77160000, Image Size: 0x9000"
44:58.0,1.exe,4080,CreateFile,C:\Users\vegetable\Desktop,SUCCESS,"Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\kernel32.dll,SUCCESS,"Image Base: 0x74ec0000, Image Size: 0xe0000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\KernelBase.dll,SUCCESS,"Image Base: 0x74bb0000, Image Size: 0x1fc000"
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Terminal Server,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat,NAME NOT FOUND,Length: 548
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 0"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\SafeBoot\Option,REPARSE,"Desired Access: Query Value, Set Value"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\DLL,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers,SUCCESS,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled,NAME NOT FOUND,Length: 80
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers,NAME NOT FOUND,Desired Access: Query Value
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\FileSystem\,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\FileSystem,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 0"
44:58.0,1.exe,4080,CreateFile,C:\Windows\SysWOW64\apphelp.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\8ccca27d-f1d8-4dda-b5dd-339aee937731,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags,SUCCESS,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\LogFlags,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\18608e62-a628-49d9-8c02-55972e097d24,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,CreateFile,C:\Windows\apppatch\sysmain.sdb,SUCCESS,"Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders,SUCCESS,Desired Access: Query Value
